Time,EMA,SMA,RSI,HBB,LBB,Value
2012-01-26 00:00,5.82802579575821,6.5,37.305699481865275,7.298683126679227,5.701316873320773,5.3
2012-01-27 00:00,5.777737624733619,6.4526315789473685,35.294117647058826,7.40141783715079,5.503845320743947,5.3
2012-01-28 00:00,5.732238803330417,6.373684210526315,36.33540372670808,7.418938134769927,5.328430286282704,5.6
2012-01-29 00:00,5.7196446315846625,6.278947368421053,35.9375,7.300045691070099,5.257849045772008,5.4
2012-01-30 00:00,5.689202285719457,6.242105263157894,38.66171003717472,7.33133068216584,5.152879844149949,5.5
2012-01-31 00:00,5.671183020412842,6.189473684210526,41.66666666666667,7.316488249853191,5.062459118567861,5.5
2012-02-01 00:00,5.654879875611619,6.1157894736842096,37.49999999999999,7.2212267373753,5.010352209993119,6.1
2012-02-02 00:00,5.697272268410512,6.0473684210526315,35.443037974683534,7.098697254797924,4.996039587307339,6.1
2012-02-03 00:00,5.735627290466653,6.03157894736842,38.65030674846626,7.070377248242753,4.9927806464940865,6
2012-02-04 00:00,5.7608056437555435,5.994736842105262,37.35498839907193,6.969092379186222,5.020381305024301,5.9
2012-02-05 00:00,5.774062249112158,5.9421052631578934,40.38461538461538,6.794110778665033,5.090099747650754,5.7
2012-02-06 00:00,5.767008701577667,5.899999999999999,41.99999999999999,6.678662821427658,5.121337178572339,5.4
2012-02-07 00:00,5.732055491903603,5.905263157894736,51.21951219512196,6.7058898259934185,5.104636489796054,5.7
2012-02-08 00:00,5.729002587912784,5.878947368421053,50.154798761609904,6.682046773428171,5.075847963413935,5.6
2012-02-09 00:00,5.716716627159185,5.842105263157895,47.213114754098356,6.613287642832452,5.0709228834833375,5.8
2012-02-10 00:00,5.724648376953549,5.794736842105263,51.020408163265294,6.498037539200797,5.091436145009729,5.9
2012-02-11 00:00,5.741348531529401,5.773684210526316,50.99999999999999,6.453126363121256,5.094242057931376,5.6
2012-02-12 00:00,5.72788676662184,5.75263157894737,51.000000000000014,6.390170402523852,5.115092755370888,5.5
2012-02-13 00:00,5.706183265038807,5.7105263157894735,52.63157894736841,6.276623957819538,5.144428673759409,5.3
2012-02-14 00:00,5.667499144558921,5.6684210526315795,52.631578947368425,6.1868776089196915,5.149964496343467,4.5
2012-02-15 00:00,5.556308749839023,5.6421052631578945,55.94405594405594,6.374903824062976,4.909306702252813,4.3
2012-02-16 00:00,5.436660297473402,5.6,52.631578947368425,6.527929216901239,4.672070783098761,4.3
2012-02-17 00:00,5.328406935809269,5.5473684210526315,53.01204819277108,6.623746010728394,4.470990831376869,4.4
2012-02-18 00:00,5.239987227636958,5.478947368421053,52.38095238095237,6.655535332000588,4.302359404841517,4.2
2012-02-19 00:00,5.140940825004868,5.4263157894736835,49.29577464788733,6.725764459671579,4.126867119275788,4.4
2012-02-20 00:00,5.070375032147261,5.3578947368421055,52.380952380952394,6.722397971402194,3.993391502282017,4.4
2012-02-21 00:00,5.006529790990379,5.300000000000001,51.40186915887852,6.719414260216257,3.8805857397837444,4.3
2012-02-22 00:00,4.939241239467487,5.210526315789474,43.23144104803496,6.632678347679119,3.78837428389983,4.4
2012-02-23 00:00,4.8878849309467745,5.11578947368421,44.444444444444464,6.504284890239908,3.727294057128513,5
2012-02-24 00:00,4.898562556570892,5.031578947368422,41.35338345864665,6.3488368537382645,3.7143210409985787,5
2012-02-25 00:00,4.908223265468902,4.98421052631579,47.761194029850756,6.23619946736111,3.7322215852704703,4.8
2012-02-26 00:00,4.897916287805198,4.947368421052633,47.21311475409836,6.155157690976138,3.739579151129128,4.9
2012-02-27 00:00,4.898114736585655,4.915789473684211,48.322147651006716,6.103933755670019,3.7276451916984032,5
2012-02-28 00:00,4.9078180950060695,4.873684210526315,45.00000000000002,6.004384765043737,3.742983656008894,4.9
2012-02-29 00:00,4.907073514529301,4.842105263157894,41.66666666666668,5.921058712232037,3.7631518140837503,4.9
2012-03-01 00:00,4.906399846478892,4.794736842105263,43.17343173431736,5.776738451774916,3.8127352324356107,4.9
2012-03-02 00:00,4.905790337290426,4.742105263157895,45.00000000000001,5.579550819898419,3.904659706417371,4.7
2012-03-03 00:00,4.886191257548481,4.705263157894738,45.71428571428573,5.4407545990473505,3.969771716742125,4.6
2012-03-04 00:00,4.8589349473057695,4.663157894736844,44.44444444444445,5.296976637875918,4.029339151597769,4.8
2012-03-05 00:00,4.853322095181411,4.626315789473685,45.71428571428572,5.1895785233917975,4.063053055555572,5
2012-03-06 00:00,4.867291419449848,4.6421052631578945,55.99999999999999,5.225092927942622,4.059117598373167,5
2012-03-07 00:00,4.879930331883196,4.678947368421052,57.14285714285713,5.254712989524528,4.103181747317576,4.9
2012-03-08 00:00,4.881841728846702,4.71578947368421,57.14285714285713,5.266233634225261,4.165345313143159,4.9
2012-03-09 00:00,4.8835710880041585,4.742105263157894,59.99999999999999,5.275465324693522,4.208745201622266,4.9
2012-03-10 00:00,4.885135746289477,4.778947368421052,61.64383561643835,5.2482655047087405,4.309629232133364,4.8
2012-03-11 00:00,4.877027579976194,4.805263157894738,61.9047619047619,5.238002628572457,4.3725236872170195,4.9
2012-03-12 00:00,4.879215429502271,4.826315789473685,62.75862068965515,5.216260851230107,4.436370727717263,4.9
2012-03-13 00:00,4.8811949124068175,4.857894736842106,60.0,5.158101207076135,4.557688266608078,5.3
2012-03-14 00:00,4.921081111225216,4.8842105263157904,61.9047619047619,5.166361678162989,4.602059374468592,5.4
2012-03-15 00:00,4.9666924339656715,4.9,57.89473684210525,5.258358832222089,4.541641167777912,5.3
