Time,EMA,SMA,RSI,HBB,LBB,Value
2016-01-04 18:00,1.2895191996880304,1.39489,53.53577371048271,1.4026346619986725,1.3871453380013274,1.39290000
2016-01-04 19:00,1.2993649901939321,1.3929,52.62839618159065,1.3982104841686294,1.3875895158313707,1.393630000
2016-01-04 20:00,1.3083426101754625,1.39363,49.67789284840602,1.3990544766907436,1.3882055233092563,1.392870000
2016-01-04 21:00,1.3163928377777996,1.39287,50.293999194522726,1.3975673676839158,1.3881726323160843,1.391560000
2016-01-04 22:00,1.323551615132295,1.39156,53.54068098968453,1.396726847761399,1.3863931522386008,1.390240000
2016-01-04 23:00,1.3299028898816003,1.39024,54.19171996476559,1.3971657703352653,1.3833142296647345,1.390790000
2016-01-05 00:00,1.335701662273829,1.39079,53.44909988848164,1.3968464241664706,1.3847335758335293,1.39090000
2016-01-05 01:00,1.3409586468191785,1.3909,53.058355757259385,1.3967013174547276,1.3850986825452725,1.391640000
2016-01-05 02:00,1.3457854423602091,1.39164,53.36151102892632,1.396665980920231,1.386614019079769,1.391940000
2016-01-05 03:00,1.3501811145163796,1.39194,54.813803694066436,1.3967079831331386,1.3871720168668613,1.390770000
2016-01-05 04:00,1.3540467226576767,1.39077,54.14881184261779,1.3967659530211285,1.3847740469788716,1.392950000
2016-01-05 05:00,1.357751796690279,1.39295,51.8850317282567,1.3974482476120091,1.3884517523879907,1.393310000
2016-01-05 06:00,1.3611382922435857,1.39331,51.561951561951666,1.3977678517365726,1.3888521482634275,1.394150000
2016-01-05 07:00,1.3642822644108632,1.39415,52.60858166564738,1.398402662324016,1.389897337675984,1.39250000
2016-01-05 08:00,1.366969667800305,1.3925,41.78207192699955,1.3964634647256635,1.3885365352743366,1.39360000
2016-01-05 09:00,1.3695058899145616,1.3936,35.76291996874647,1.3971842315479714,1.3900157684520285,1.39250000
2016-01-05 10:00,1.371695805160794,1.3925,35.908917162670974,1.3955419315193511,1.389458068480649,1.396580000
2016-01-05 11:00,1.3740657284788136,1.39658,35.865830379056305,1.404915871753736,1.3882441282462639,1.398360000
2016-01-05 12:00,1.3763794686236885,1.39836,44.78046489786311,1.4100565060010066,1.3866634939989935,1.399320000
2016-01-05 13:00,1.3785642811357182,1.39932,46.21686746987975,1.412659997632762,1.3859800023672377,1.40000
2016-01-05 14:00,1.3806057781704117,1.4,46.2712435607339,1.4144585410925967,1.385541458907403,1.399490000
2016-01-05 15:00,1.3824042754875154,1.39949,47.63898837401539,1.412650377534178,1.3863296224658217,1.399150000
2016-01-05 16:00,1.3839991063934662,1.39915,50.506329113924394,1.4114436389199752,1.3868563610800246,1.398910000
2016-01-05 17:00,1.3854191914988505,1.39891,51.885565669700846,1.4104664736927202,1.38735352630728,1.39930000
2016-01-05 18:00,1.3867411732608648,1.3993,55.76519916142696,1.4109740648222324,1.3876259351777676,1.397960000
2016-01-05 19:00,1.3878096329503062,1.39796,56.44934804413405,1.4069457618368995,1.3889742381631007,1.398730000
2016-01-05 20:00,1.3888496679074198,1.39873,55.396862561462456,1.40810152686543,1.38935847313457,1.399090000
2016-01-05 21:00,1.3898249376305227,1.39909,56.571298301608465,1.4082403914210209,1.389939608578979,1.401090000
2016-01-05 22:00,1.3908978007133301,1.40109,55.90277777777892,1.4126486686539856,1.3895313313460143,1.403310000
2016-01-05 23:00,1.392079914931108,1.40331,58.74390904169054,1.4179122961424422,1.388707703857558,1.402620000
2016-01-06 00:00,1.393083732556717,1.40262,61.223079580791605,1.4148394719500001,1.3904005280499998,1.40320000
2016-01-06 01:00,1.3940471865989346,1.4032,60.69635085370049,1.4155655795616193,1.3908344204383807,1.403740000
2016-01-06 02:00,1.3949703116847503,1.40374,61.0312015932738,1.4161560710795578,1.3913239289204422,1.403470000
2016-01-06 03:00,1.3957798058100122,1.40347,60.57315571476647,1.4146357559199167,1.3923042440800832,1.404820000
2016-01-06 04:00,1.396640776685249,1.40482,66.76125848241934,1.4170490904253576,1.3925909095746423,1.408440000
2016-01-06 05:00,1.3977645122390348,1.40844,67.11626487641254,1.4261191664485569,1.390760833551443,1.407780000
2016-01-06 06:00,1.3987183682162696,1.40778,72.46485473289687,1.4226503137686786,1.3929096862313215,1.409260000
2016-01-06 07:00,1.3997223331480535,1.40926,68.7158030254279,1.4259231367489973,1.3925968632510026,1.407890000
2016-01-06 08:00,1.4005002061815721,1.40789,68.28711256117573,1.4213642194383826,1.3944157805616175,1.409280000
2016-01-06 09:00,1.4013363770214224,1.40928,65.24425789903378,1.42455477521585,1.3940052247841501,1.406010000
2016-01-06 10:00,1.4017814839717633,1.40601,66.35819884888986,1.415726228421401,1.396293771578599,1.405710000
2016-01-06 11:00,1.4021556283554049,1.40571,56.65285672993607,1.4146252713451637,1.3967947286548363,1.409170000
2016-01-06 12:00,1.4028236637501281,1.40917,56.77319687168174,1.4223417097159825,1.3959982902840176,1.408490000
2016-01-06 13:00,1.4033633148215445,1.40849,57.281903388608775,1.4197350653504923,1.3972449346495077,1.40910000
2016-01-06 14:00,1.4039096657909211,1.4091,60.099771708802216,1.4204340047272752,1.3977659952727248,1.409480000
2016-01-06 15:00,1.4044401738108334,1.40948,59.69193653150235,1.4201750003075713,1.3987849996924289,1.410240000
2016-01-06 16:00,1.4049925382098016,1.41024,59.17485080588341,1.4209254519890608,1.399554548010939,1.4080000
2016-01-06 17:00,1.4052789631422014,1.408,59.705022958118995,1.4143779356501844,1.4016220643498154,1.40720000
2016-01-06 18:00,1.4054619190334203,1.4072,55.700934579439284,1.4122772702985178,1.4021227297014822,1.407840000
