Time,Max,Min,SMA,RSI,Value
2019-05-02 07:00,1.344170000,1.343810000,1.3419993548387,55.788423153691,1.344140000
2019-05-02 08:00,1.343870000,1.343710000,1.34206625,56.263153078963,1.343870000
2019-05-02 09:00,1.345760000,1.345640000,1.3421209090909,57.050518795712,1.34570000
2019-05-02 10:00,1.346520000,1.346360000,1.3422261764706,59.549147499713,1.346360000
2019-05-02 11:00,1.345490000,1.345120000,1.3423442857143,59.620556807442,1.345480000
2019-05-02 12:00,1.346930000,1.34670000,1.3424313888889,57.666223188499,1.346850000
2019-05-02 13:00,1.346760000,1.346470000,1.3425508108108,58.907535175197,1.346750000
2019-05-02 14:00,1.346130000,1.345980000,1.3426613157895,60.289191123835,1.346010000
2019-05-02 15:00,1.34710000,1.346910000,1.3427471794872,59.164459363771,1.347090000
2019-05-02 16:00,1.346890000,1.34670000,1.34285575,59.810032650637,1.346870000
2019-05-02 17:00,1.347420000,1.347030000,1.3429536585366,60.590114640104,1.347420000
2019-05-02 18:00,1.34730000,1.347150000,1.34306,60.416336330894,1.347180000
2019-05-02 19:00,1.346870000,1.346810000,1.3431558139535,61.057008661179,1.346830000
2019-05-02 20:00,1.347090000,1.346970000,1.3432393181818,61.29177220361,1.347010000
2019-05-02 21:00,1.346450000,1.346270000,1.3433231111111,60.613933410607,1.346270000
2019-05-02 22:00,1.346780000,1.346630000,1.343387173913,59.677148768803,1.346760000
2019-05-02 23:00,1.346810000,1.346530000,1.3434589361702,59.458581483486,1.346810000
2019-05-03 00:00,1.34670000,1.346620000,1.34352875,58.648845341427,1.346650000
2019-05-03 01:00,1.347050000,1.346910000,1.3435924489796,59.428610484586,1.346980000
2019-05-03 02:00,1.346790000,1.346560000,1.3436602,59.035181236673,1.346650000
2019-05-03 03:00,1.34670000,1.346460000,1.3437188235294,59.291598285558,1.34670000
2019-05-03 04:00,1.346630000,1.346440000,1.3437761538462,58.539225375311,1.346630000
2019-05-03 05:00,1.345990000,1.345870000,1.34383,59.473027656919,1.345880000
2019-05-03 06:00,1.347030000,1.346910000,1.343867962963,58.587176215936,1.346990000
2019-05-03 07:00,1.347270000,1.347190000,1.3439247272727,59.260067961296,1.347240000
2019-05-03 08:00,1.346980000,1.346830000,1.3439839285714,58.81039898416,1.346950000
