Time,Max,Min,SMAP,RSI,Value
2019-01-01 22:00,1.365110000,1.365040000,1.36281,88.349514563115,1.365050000
2019-01-01 23:00,1.364770000,1.364640000,1.363258,91.366906474827,1.364750000
2019-01-02 00:00,1.364850000,1.364750000,1.3635066666667,87.586206896552,1.364840000
2019-01-02 01:00,1.360480000,1.360000,1.3636971428571,82.965299684544,1.360080000
2019-01-02 02:00,1.360760000,1.360470000,1.363245,39.818319454959,1.360660000
2019-01-02 03:00,1.35780000,1.357320000,1.3629577777778,37.720329024678,1.35770000
2019-01-02 04:00,1.362650000,1.361920000,1.362432,32.695049908332,1.361970000
2019-01-02 05:00,1.362680000,1.362640000,1.36239,47.522236340534,1.362660000
2019-01-02 06:00,1.363850000,1.36320000,1.3624125,45.183054971795,1.36320000
2019-01-02 07:00,1.36340000,1.363090000,1.3624730769231,42.961428430502,1.363160000
2019-01-02 08:00,1.363990000,1.36360000,1.3625221428571,47.354113809351,1.36360000
2019-01-02 09:00,1.365070000,1.363530000,1.362594,45.259686727123,1.364990000
2019-01-02 10:00,1.362810000,1.362370000,1.36274375,45.846020008699,1.362460000
2019-01-02 11:00,1.360850000,1.360230000,1.3627270588235,43.083211678832,1.360560000
2019-01-02 12:00,1.359380000,1.359090000,1.3626066666667,42.39529388104,1.359190000
2019-01-02 13:00,1.35810000,1.357910000,1.3624268421053,42.775974025974,1.358080000
2019-01-02 14:00,1.358880000,1.358540000,1.3622095,43.501589004912,1.358590000
2019-01-02 15:00,1.35880000,1.358520000,1.3620371428571,42.079207920792,1.358630000
2019-01-02 16:00,1.358310000,1.357970000,1.3618822727273,39.861974767262,1.35810000
2019-01-02 17:00,1.358190000,1.35740000,1.361717826087,41.334327245621,1.357590000
2019-01-02 18:00,1.364960000,1.362910000,1.3615458333333,42.677099701761,1.363730000
2019-01-02 19:00,1.363180000,1.362860000,1.3616332,51.463560334528,1.363110000
2019-01-02 20:00,1.363180000,1.363080000,1.36169,52.526792205051,1.363170000
2019-01-02 21:00,1.362230000,1.362020000,1.3617448148148,50.614754098361,1.362060000
2019-01-02 22:00,1.36340000,1.363290000,1.3617560714286,50.874316939891,1.363360000
2019-01-02 23:00,1.363420000,1.363370000,1.3618113793103,50.834016953787,1.363390000
2019-01-03 00:00,1.363610000,1.363510000,1.361864,49.149666277009,1.363560000
2019-01-03 01:00,1.364040000,1.363920000,1.3619187096774,47.764825507499,1.364020000
2019-01-03 02:00,1.363070000,1.362490000,1.361984375,46.856526879477,1.362970000
2019-01-03 03:00,1.362080000,1.361630000,1.3620142424242,47.161336687029,1.361730000
2019-01-03 04:00,1.361760000,1.361490000,1.3620058823529,47.196555264408,1.361670000
2019-01-03 05:00,1.361860000,1.361790000,1.3619962857143,48.635674583123,1.361830000
2019-01-03 06:00,1.361890000,1.361590000,1.3619916666667,47.415614088029,1.361590000
2019-01-03 07:00,1.361690000,1.361530000,1.3619808108108,48.549274637319,1.361530000
2019-01-03 08:00,1.358780000,1.358290000,1.3619689473684,49.82773296583,1.358290000
2019-01-03 09:00,1.353730000,1.353280000,1.3618746153846,47.465336365637,1.353730000
2019-01-03 10:00,1.352440000,1.351360000,1.361671,44.336759667156,1.351870000
2019-01-03 11:00,1.351340000,1.350870000,1.3614319512195,43.921254011355,1.35090000
2019-01-03 12:00,1.348710000,1.348360000,1.3611811904762,44.239973838333,1.348360000
2019-01-03 13:00,1.347540000,1.347110000,1.3608830232558,43.364611260054,1.347260000
2019-01-03 14:00,1.348120000,1.347770000,1.3605734090909,43.580762494948,1.347770000
2019-01-03 15:00,1.347980000,1.347690000,1.3602888888889,42.890362587202,1.347710000
2019-01-03 16:00,1.348240000,1.348080000,1.3600154347826,43.811328415782,1.348170000
2019-01-03 17:00,1.348790000,1.348440000,1.3597634042553,43.111921111726,1.348790000
2019-01-03 18:00,1.348130000,1.347820000,1.3595347916667,42.650918635171,1.34810000
2019-01-03 19:00,1.347940000,1.347840000,1.3593014285714,43.096568236233,1.347930000
2019-01-03 20:00,1.348650000,1.348470000,1.359074,43.873393920401,1.34860000
2019-01-03 21:00,1.348020000,1.347920000,1.359074,43.501577287066,1.347960000
2019-01-03 22:00,1.348550000,1.348470000,1.359074,43.501577287066,1.348550000
2019-01-03 23:00,1.348340000,1.348270000,1.358791,43.501577287066,1.348340000
2019-01-04 00:00,1.348410000,1.348380000,1.358499,43.19498825372,1.34840000
2019-01-04 01:00,1.348690000,1.348640000,1.3582198,41.90979582729,1.348640000
2019-01-04 02:00,1.347470000,1.34720000,1.3579182,42.722581936166,1.347440000
2019-01-04 03:00,1.345090000,1.344780000,1.3575852,40.864753191175,1.344860000
2019-01-04 04:00,1.343710000,1.343540000,1.357263,39.41146019409,1.343540000
2019-01-04 05:00,1.344610000,1.34450000,1.356915,40.458203436526,1.344520000
2019-01-04 06:00,1.345390000,1.345110000,1.3566106,41.915663917557,1.345390000
2019-01-04 07:00,1.344460000,1.344320000,1.3562682,42.286476466067,1.344460000
2019-01-04 08:00,1.343760000,1.343380000,1.3560046,43.571177073925,1.343380000
2019-01-04 09:00,1.343480000,1.343160000,1.355673,39.136106203458,1.343170000
2019-01-04 10:00,1.344660000,1.344390000,1.355309,39.437280187573,1.344550000
2019-01-04 11:00,1.339450000,1.338740000,1.3549126,39.867953275775,1.338780000
2019-01-04 12:00,1.340030000,1.339690000,1.3545128,39.753544902093,1.340000
2019-01-04 13:00,1.339930000,1.339720000,1.3541318,41.154163231657,1.339930000
2019-01-04 14:00,1.339860000,1.339650000,1.3536076,37.50525589255,1.339650000
